uuid,predicted_label,final_score,actual_type
0005c47ed182eccb3351a9cf79557057cc390ad5,FAKE,0.402,bs
0072665dfdd53b2cc88858040e08fa4fe1be8afc,REAL,0.960,bs
009b43f8247f3ab4e5544c893ba743dabb1d380e,FAKE,0.642,bs
00e423031b1f7c0c17cf0a1931f9c579916a18b3,FAKE,0.602,bs
01441caeb45105c26fcbe184e4fec4c14693b4c6,FAKE,0.122,bs
0167c57bb1633e4f28cbd9d3037249f51c25be5c,REAL,0.700,bs
01cfb81f0fc34eb0fa1a11c84f41cd1264f39c69,FAKE,0.242,bs
020dd1a987c7d843b00ab63c9002fd3236baa76f,FAKE,0.082,bs
0222f6e32ec4db3566b951b418861923f884da7f,FAKE,0.242,hate
026520baa2fee5c05689f0617265ff13d4030091,FAKE,0.560,bs
02d3917e80b010d36b56c540627eb256ad95c069,FAKE,0.522,bs
02e4ec318fb491e05ed442be5c12af8f221b2caf,FAKE,0.122,bs
035fa202bce71a2ca50abf9d05840eac6aece403,FAKE,0.122,bs
03efecc76b59e2bb783f5321a319f9bfd93ce2f0,FAKE,0.260,conspiracy
0457746a16bf1e39f178ae20fa2a6e517e2bca26,FAKE,0.220,conspiracy
046ba5c5e67ace2bea6f4c1d36c42915a46464fd,FAKE,0.220,bs
05085ff1819b370473b70438cb47712a0de50cd2,FAKE,0.442,hate
054368a77697b50844112365642e3365729f6148,FAKE,0.362,bias
05b55845303fb403bbff19ea7a8e7e053a5376ab,FAKE,0.522,bs
075ce205bd725f4ec5d3a8e86d43fdfb01dea185,FAKE,0.562,bs
07d540c545b64717b7310caf94beb2c17d984f09,FAKE,0.180,conspiracy
082fa084ad90e3050f9d628e920f2d142cb69b9a,FAKE,0.402,bs
08373ff248f3e96fc91e1118aedb0b5570b597ac,FAKE,0.442,bs
086947f17d5ffaf60ad9fe79e78393806b808c7f,FAKE,0.340,bs
088ddf580942133f16728aa4773e94bcc26bcfc0,FAKE,0.442,bs
096858c81b7e65acb92a0070dc7c37ac70c49a44,FAKE,0.242,conspiracy
09712b8e5796b613b937b1d227fce70cf47c24b0,FAKE,0.362,bs
09f1ce44f5456eddcc21f9a23557b6711ae4faaf,FAKE,0.522,bs
0a130ebe0dd2e55c32a495138b37c9b8970e491d,FAKE,0.442,bs
0a35e4a436fb19b2b74c616ffc1ac032881983d6,FAKE,0.220,bs
0a4300bd4db46f7838410a2f340a8742af640aed,FAKE,0.290,bs
0ab8e53c58e771e69171cfcef1433649f412a4dc,FAKE,0.420,bs
0ab97698d68d17b8898c9b43b4086fe2a53aa7fc,REAL,0.700,bs
0b0f323e40b80464e81b489cccf5e420092892f1,FAKE,0.660,state
0c0e359313b24847b57af23f4f51788ee0403d66,FAKE,0.522,bs
0c5e7c47aed0355f3b3ee0ae33dd8b305e9fad69,FAKE,0.580,bs
0c802e3fcd2072f921def28763ea716a3f3870ca,FAKE,0.522,bs
0ccbeab2250370315545149e96d1e2bd43639315,FAKE,0.658,conspiracy
0cd81e317da0626c82cbd45410db3c84fb80b631,FAKE,0.242,bs
0cfc824cb9a0e01a9e43d37ca851d3798ebe5534,FAKE,0.082,bs
0d4a5986036ca1733adad2845c01de99b8ca4c95,FAKE,0.522,bs
0e5276efd5ef35243e9d70bc0e0b8b80ec412e34,FAKE,0.122,bs
0e56365a920010836f24855da8709abc1a1e8c66,FAKE,0.642,bs
0e91142f967d708cd2b63ef5eb735a396845f60d,FAKE,0.442,bs
0f279f897eceaf968bbb974ac206a880eac8dd89,REAL,0.756,bias
10c1de5abd47bd9286b5b85b9c5d8db9b5f8e46c,FAKE,0.602,bs
111f529e82f09b9967a1c0fcce69a5756808db6f,FAKE,0.362,bs
11df9bd055c59241dbb7a38b9b90a3091154cc47,FAKE,0.402,bs
11eef123eca42d00293d610ac3ba9872b56aa529,FAKE,0.402,bs
120919c81f3bb0d03f1040342ec4f6ff06c13692,FAKE,0.362,conspiracy
121b139dfff6a3660af3872e420ba1b55122efff,FAKE,0.642,bs
124592986b7561c637785a91e6da7d49ca4109f7,REAL,0.920,conspiracy
12539ce630d1c0cce2034610a9502632e6d453e4,FAKE,0.460,bs
1285921de728b4fd19228ddeb1fa78d6db4ca429,FAKE,0.340,bias
1289c78b5fdc385bc1a55a43b7a1105cbe2b0483,FAKE,0.402,bs
12cac67fba5286804c41ead4fa69f7731ed5a9fd,FAKE,0.220,bs
12d38b591e4c4b35431f910f12e804ff25c0e91f,FAKE,0.562,bs
1378c3f9a69d42b2885d3a4fa5c9be3c0e8abcc1,FAKE,0.642,hate
13cf77d956edec422bfd970f59b82e623d2c6caf,FAKE,0.180,bs
144fc0dba9ee289bf18660cf906c1e08cfaeb749,FAKE,0.122,bs
152179bcfcd757ac6c65e39515fa1bc4e524a16a,FAKE,0.500,bs
153f5d83b2ee897599c1c3dba3e113e81626b7a4,FAKE,0.522,bs
15aae87244ecdc64b8f9937360c2884bab1dc27c,REAL,0.761,bs
164fcf7a505913f469856c5934843fee779e10ec,FAKE,0.442,bs
1667c87cec747c23555b26dd92a0b93fd4474279,FAKE,0.242,bs
16d1f45eceddc3b4e7b6f01df36bf015861fc49a,FAKE,0.242,hate
175c7828a1a86c7ff20bf993539e82e6ed5c2fdd,FAKE,0.642,conspiracy
17b3201fb1f60a90482c177e4ffc5aca64991221,FAKE,0.122,bs
18615cd6818319a8d47f2af06b7ff5deece4e119,FAKE,0.522,bias
189f2c61e3d34dc6d1f9593a6eea91ad2b73602f,FAKE,0.500,satire
19579200c55a6f2ce347f6e5ea0cf5cb0abd1717,FAKE,0.242,bs
1984758f4909291673f0b555561a5122ed16f200,REAL,0.932,bias
1b0556135f192c0b69ad6fd5e44c7075ed5b2e9c,FAKE,0.340,bias
1b2bb99429f97a8ebafdc9700a1ddd1be6bb3b59,FAKE,0.082,bs
1b4fb23238c57fabe9beed3bbcabc4cd8df6e8ac,FAKE,0.122,bs
1bfa313cef7a919557d00a14c3097b73b266d5ad,FAKE,0.122,bs
1c05d3fb8fb2ae6efdb65f47881c28c59801f831,FAKE,0.642,conspiracy
1d093a03383927bed5d545af32f81a5ca5a977ff,REAL,0.700,state
1daf999087663d195e343c46924fdaf1624a16e6,FAKE,0.362,bs
1f418bcf6da6831aa809c1a1c47dec31d9947604,FAKE,0.362,bs
1f902e2122169262574a394b700862939e96efdf,FAKE,0.402,bs
204d2da1afa7ffcc869c17ce551b329175ec4b4f,FAKE,0.600,satire
20b4cf8990be80a163687bf12f6c184f3603afec,FAKE,0.242,bs
20e8676b8d308eb43ea933140d4f4d94deaf9106,FAKE,0.540,state
21436f8cafa975ac445558e2e9f2f03673b4bb92,FAKE,0.242,bs
21452ad06d8558cc74be32ba87820c62252005ef,FAKE,0.322,hate
214a320a3f7b2dc3ca98f3e007ea378ba16ea39a,FAKE,0.082,bs
2163ff5b09b08a856f48f03a5ac087f933f16468,FAKE,0.362,bs
2182bc85fa3d930fafc707bc89714989cfa41a2b,FAKE,0.082,bs
22247d38a5741047fe5bb172980959b758a57f00,FAKE,0.082,bs
22aa442f184259fdae0546dcb79620d58fa10f46,FAKE,0.560,conspiracy
22d9899d7b76503014bdeb1f407bb1ec80992013,FAKE,0.442,bs
234aa368499c02aa563baa9ef9de5a4c0c3bb5e6,FAKE,0.562,bs
23b55e1d08651c96333d8202ee40b2151a717a39,FAKE,0.362,bias
23e5876c50043503766af8ab37aebaad071cbad3,FAKE,0.642,satire
23eaea85ca282200540964443c8f21844b4eced5,FAKE,0.482,bs
241a260002c46e1f2015227fb05605480aa2a359,FAKE,0.082,bs
244608c347474ccccc829bcdc6413cca0ce7bd84,FAKE,0.362,bs
24b6511cbef60c3f5629c8bd085115d54d7bb0d0,FAKE,0.122,bs
2511280f4596829c8412687533fd31328d24f2b7,REAL,0.932,bias
25a10ebfae9a7c130583f7cd99f95db9d9cb5b89,FAKE,0.560,bs
25ac06433e67ada921511c3cec0acaf17d3afcec,FAKE,0.482,bs
25de41d2c7889142bdc6e7c2a47d577ae74db71c,FAKE,0.418,bs
26285b160236f12ed1665f59db2ada3ab0fa30d6,FAKE,0.082,bs
26ebe04128690504f3ade3796d6d3293d1080607,FAKE,0.522,bs
27810a3e461edea3f5becdea7f9cfaea915856cb,FAKE,0.122,bs
279ab05387fdeb8306db0f41c98b7dc0b635ab0e,FAKE,0.580,conspiracy
27ef5900e6f9b6975672d629cc03809592fa1196,FAKE,0.602,conspiracy
2950507079e4fc7ef6e7bb0d402dcc4c338d5a1c,FAKE,0.555,bs
29aa6e6c0aa6e47a2ee80e18b8ddc031657425b0,FAKE,0.220,conspiracy
2ada4404a21d1e8aeaaf8bee971cf69d81d18f24,FAKE,0.242,bs
2adb94fbb8018a5630e06566e857a59598267006,FAKE,0.522,bs
2b70dc0fc15b0291c13adb34bf4d343bdc64d7c1,FAKE,0.282,bs
2b977a7e92cb2834c52e6d1466416955d0d696b0,FAKE,0.362,bs
2bd9d93a72a6c5c38c26488d77471c4806e7b1d2,FAKE,0.320,bs
2c6a0f68ac6206d50c6993c4e727bc3b6a6354e7,FAKE,0.122,conspiracy
2ca04ddcbae5352eeb974733ce658f573ef4886b,FAKE,0.322,bs
2cc5899fe33338982af06d0fe3a00ae8e947c00a,FAKE,0.522,bs
2d363c02b97380f8fdd0cce3384d9f028595b4fc,FAKE,0.562,bs
2ddce9827ce82f9314de812d4fd311cabe6fc4f6,FAKE,0.402,bs
2e0b327476bbd07b02b9d66cd477cb5f66556e33,REAL,0.762,bias
2e48c8e5d1a0bf4188f07a8a2093bf565ca11592,FAKE,0.373,bs
2e51b4abb0ad3f55d1b0ed68e8ddbbb60a26cc4f,FAKE,0.340,bs
2ecf5688224e0e635c2d510efaa0fecd99aba2a5,FAKE,0.642,bs
2f259037a896f76d5dd20e4271a6a01e35cb9628,FAKE,0.522,bs
2f6173c8a514917ed453b9023bcf8d4f4fc6e979,FAKE,0.562,bias
2f6f08198bfcf9d03926a7dec4cf93b27482cfe3,FAKE,0.122,bs
2f92e1f00d40c07d28796c767772578ede042382,REAL,0.800,bias
2fafd896c403635cfa30c9d8b39775dab7aa75c7,FAKE,0.402,bs
3015ea9736deba2d0cc274c526b8da5195f91258,FAKE,0.362,bias
303f9aa9759ced7fa8433e7cb2104faac42330c7,FAKE,0.322,bs
3122b7bd404641d874680e2ad05a54c1af5da739,FAKE,0.399,bs
315ae9df21671b99ba5f7a83b70cb2f118d624c7,FAKE,0.122,bs
3178b5424f9926b2f9bdbfb846fc9e4079b276f6,FAKE,0.562,bias
31e16c89ee6714d3dba1d406eeaa5dabf79eced6,FAKE,0.600,satire
3273ddbc4be3297761efb470895d89ef70e9397d,FAKE,0.082,bs
32e8fb2ee25a62ea4b1c5899c780b2f7a74c5bfb,FAKE,0.242,hate
330d4115803322d82e1dec1a5207a789c1fab3c6,FAKE,0.418,bs
3582348c3ebcd3c5dee39c3b1afb23dcec3d954e,FAKE,0.388,bias
35b88ece87d0ad0967c681b0077c03f93ac6a236,FAKE,0.442,hate
35d6d01f60662e323af6546c7d5fac239d2e4f9b,FAKE,0.122,bs
35de285ad609e9219e15f092b7c168c2e3c7e2c3,FAKE,0.122,bs
360c2bfca76f99be44096d058bba1c281b2508ea,FAKE,0.442,bs
36387a214041c2d89bfeb4350457fee4321e8fc5,FAKE,0.242,hate
365badeeca43336ffc80315828ff59584b0506c7,FAKE,0.082,bs
367dc266164d1dbd428cab0d4274f8bc32e279ef,FAKE,0.362,bias
36f97dabac55cd1fcb4a8193e67c5e03cee502c4,FAKE,0.082,bs
370fdd82c5461b4b7eef552c16425e439e8b140f,FAKE,0.562,bias
37274e2cf3e02d1df0b49c520415b7ec6c89a2ed,FAKE,0.442,bs
3732ddbf1b3fb5d181400b220424b7a2698559ef,FAKE,0.082,bs
3829c0602781e6cbbb01714492d6b30348b660e9,FAKE,0.162,bs
382ae9512bcea1e8fbcf30b8b91282b7851f65e7,FAKE,0.482,bs
3836cd38353373b7d934a7e25e5888876958f94a,FAKE,0.442,bias
385d531061a9fdd192d1c9ee593cac6046ab6a86,FAKE,0.082,bs
3949a071925feabf1b0cc5eed8cfa15959a47978,FAKE,0.345,bs
395b2f98e5e42c492316866d6e66e5008f776e55,FAKE,0.362,bs
3a7224ef0c43a4d9a143f954b124bbb5cb8c97d8,FAKE,0.442,bs
3ba60c7316a192da8da51428f954eba93589dd3c,FAKE,0.562,bs
3bdea91bd4f920445ba92af7eb0428e9c299f90c,FAKE,0.580,state
3befcc17c52c0d408e85993233c622a24a4ce6c2,FAKE,0.122,bs
3ccd666113879d7e8ddd6c2c92e8fbfc3e343775,FAKE,0.122,bs
3d5abc14e9c8689230fee69f2dff31d3fdacfe87,FAKE,0.460,bs
3dc380aa2b7bdf631a35d5e97a101d016a63d106,FAKE,0.540,bs
3dc38353263d14d4ec8a84352c939ba590001d2c,FAKE,0.560,bias
3dd1047c60e2a812875cb1bf906ae157b9b446b0,FAKE,0.082,bs
3e4ac7c0d05dc00c9561c570facc368b3e46399e,FAKE,0.242,bs
3e9e549cdfa9453b9be722d661a5e25f3f700605,FAKE,0.242,bs
3ea381252621e38232a7c0a66c663d6855112810,FAKE,0.122,bs
3f9475b17cff16ea2aee6247c3addbc002585f4b,FAKE,0.242,conspiracy
4145e16f6c42bad5a2cbeda0ec9070ea89875aba,FAKE,0.460,bs
415b2dfc4db53dd7dfa9e4860142cc6eb86cb41c,FAKE,0.082,bs
41bf7dc8991f1f01d07ab4bc177e9455e5d22a41,FAKE,0.282,bs
42a941931e456a2e7fccdece9fda31de6fd2adbf,FAKE,0.242,bs
430aef47e4da3acde0dca1cef6ae53f97156fa7a,FAKE,0.242,bs
43163ccb444d3a10e12cd523081b030506e9024e,FAKE,0.522,bs
43645dd0db9e923c6f1a8a5feef3843836d5b6f4,FAKE,0.242,bs
441c206c5bc25757711f1e314c74f96322be6082,FAKE,0.522,bs
4457f1f51bf1f520d045e472247782fc5d927aa9,FAKE,0.402,bs
44de6784023118ec215907ceb8126136613fd203,FAKE,0.220,bs
44e3fefea3ca1d7869b844fc7ac3b8f4b87deb26,FAKE,0.560,bias
44eaab3822f2643caa15965a411eaa7666a85f72,FAKE,0.620,satire
45924516d5044f0c92077c16b516855c1fc46337,FAKE,0.122,bs
45a6db1fed4955815b14f152a5491ca9f176c728,FAKE,0.540,conspiracy
45dae2e535756a36b2f08642ba8a79f5d438cb98,REAL,0.800,bs
45e4e0e0f442af8d0e7db59652460a058a3b4397,FAKE,0.642,bs
4683b79a13d048c3d0e2f2af0141e313c1313d8b,FAKE,0.522,bs
46b8908349e22f13f6c5304b72e56f9bc06a612b,FAKE,0.082,bs
46fc61f27e123b3d33b436f97b888dda2e63b164,FAKE,0.420,bs
48789caa449f6f08049367f41dba6c8a5812fb32,FAKE,0.602,bias
48e35a0f4f32a957f3f54e0052bbdd8affafdff9,FAKE,0.180,bs
494cfe44bd40fb37cfeed169fbab6da5d312149b,REAL,0.860,bs
494ea7d13a2ee199e94b1b263d0e8a4c7b6d03ce,FAKE,0.162,bs
496b078be06ed2ae406bf8133b795bdf4fd63107,FAKE,0.442,hate
4b1bfe21d675eb9ed11253a6e609b6bf135c4c34,FAKE,0.242,bs
4b56efec1e65dc4b64742028cc9422f6dce846d6,FAKE,0.362,bs
4b7420fcdcb15d90fe98d1e97b17f9eee92cec05,FAKE,0.540,conspiracy
4bb7ac308a72ad691ab19a63d687d483803b17da,FAKE,0.242,hate
4bfb79f0294b4846d62aa271d0d512a765531d2e,FAKE,0.362,bs
4cb5681e736ab9e93226feef60dd688112128d84,REAL,0.760,junksci
4d4ec352b2ee1dac9e4e7ed77d504b319e07907a,FAKE,0.460,bs
4db5f96b6471002260f19885be4ad511a39418db,FAKE,0.602,bs
4debfe4f249d1f464600aab2bbd024b7077a040b,FAKE,0.122,bs
4e23cd2cece886f25c82aa54c0e34451a6e2e591,FAKE,0.580,bias
4e5545d95f60e67ccb10a773e2fc6912aa803600,FAKE,0.540,conspiracy
4e592f3ddf01eb4387eb3937bf973185e09a5473,FAKE,0.482,bs
4e98ff0599d717cd2948e867441dff2442fe8277,REAL,0.784,bias
4ee19e7be4ff19a6c77a50da7fff74a78b4579c9,FAKE,0.480,satire
4ef3ebe47730dfa90d893900ce3d1548f5a70ad4,REAL,0.744,bias
4f18aea129fe9d8fcbfdc0623d4d07a7bea3279e,FAKE,0.202,bs
4f34dd134c678cd33a0906d509b407e4cf6ef9d9,FAKE,0.522,conspiracy
4ff0c99586753a92f0445b39901e50e152774f41,FAKE,0.082,bs
50b46da026f1b728563b1ed7e9e36e61256b0905,FAKE,0.602,hate
5161f7ae08c30fae48aac505a83e52bd3c4d0eab,FAKE,0.562,conspiracy
5290f2cd0e23cdcc8223a2483fea0298ad4fe1f1,FAKE,0.180,bs
52a509b093493358171250e8d0ea6e709dccada9,FAKE,0.362,bs
52a56554dcfdbc7579e31e5c401e33226bc6693e,FAKE,0.162,bs
52a7d078c2192e2ef15e04f4bedf45787bfe723e,FAKE,0.340,bs
52f2c91212cb4ad584d23d777d6ac3922b241265,FAKE,0.420,satire
53dc8f5470360b64ebf0388a52966073e7d258d0,REAL,0.722,bias
54ccd9708bb49186df30395bf2a142b6a4907194,FAKE,0.442,bs
54ecc1e614bb4cb4b5940b656c733a35225699ab,FAKE,0.642,bs
553fba1efb2930bf482b932e4c4472c1a16b4eaa,FAKE,0.522,bs
55c226d82d58f181a9e5503acd6f81a6d951ec2b,FAKE,0.242,hate
5689f871a35dd914ca43a127b2f62089161b0d40,FAKE,0.402,conspiracy
56a58e1072f3d09de7188d045e6b3da189b1b26e,FAKE,0.602,bias
56cf0e45492fca3e4fae5e0e98f8ae9813e10135,FAKE,0.340,bs
56e4d0d01102b235f7f997fe0b07015fe284819f,FAKE,0.407,bs
56f291a76e03b36dee1c8076fe2362ced7585253,FAKE,0.242,bs
56f776d79e7588131e0ba0261814a06d0f27b4ed,FAKE,0.082,bs
57437de05a26b8014ad3824606d48afd84c17222,FAKE,0.242,bs
58164fbdc309ffc3dfdd458d88fcc1b6d0da506c,FAKE,0.522,bs
5840b368b9317683c8eac4091ecf3cf76a115622,FAKE,0.242,bs
58909ee2f648f1becad462d67564f36a5e4071dc,FAKE,0.340,conspiracy
58c1fafbcebf3a091f7352e2de03b8395054e4d4,FAKE,0.442,bs
5914c83ec834ea361d1868b692e3e45c17a00c45,FAKE,0.522,bs
595457e9036b0ec479a5e48059f67cac576b2b0c,FAKE,0.562,bs
59ab9fc080afb13d31e3805e2116468961c1a277,FAKE,0.340,bs
59b74d95efa8060885c82c38617f4448b2d0e6e0,REAL,0.880,conspiracy
59e087db45281d39c3938c8d10956263722a1d5e,FAKE,0.522,bs
5a1a4fefe4fc3761513ca4d90fb4394bc0aa9a38,FAKE,0.122,bs
5adc3045696e4001bec01641924db5abeef9ce74,FAKE,0.642,bs
5b2b5dd3769d47add0601415cd19e35e5175baa6,FAKE,0.562,bs
5b601a89dda1d650c653cd3481c0fa26e5679ce4,FAKE,0.442,bs
5b8e35a050833b5ebd76d89560e3e94b3c2347dc,FAKE,0.682,bias
5bc81595f6f21e6cddf16c33c1802d779cf039de,FAKE,0.562,bs
5c0866f181144d245687dc43a51baac1e49333b1,FAKE,0.242,bs
5c6def182d386c120641b3b424820a14e1232e17,REAL,0.740,bs
5c96dddf3e19affb7386519985180b9e086bea93,FAKE,0.602,bias
5ca00d89d1d16c77844a858aec68c4db9d7006c7,FAKE,0.642,satire
5d08bfe169685fe25d070d89670f707f56b4f568,REAL,0.912,bs
5d2107f778be2509baf26abd77c3e1b8c60d6396,FAKE,0.122,bs
5d325e9e71ebb531c582e3e128f5e0c0131b63a4,FAKE,0.376,bs
5d7c1f6133d380e202a1b7692f659ebf7f276ffb,FAKE,0.220,conspiracy
5d8065e2bd00dedc8cff8cf9f937a30311c701f9,FAKE,0.322,bs
5de91de7d5e4ce1abcba85f6e50dfffaeeb5b308,FAKE,0.122,bs
5e20b0e10c555890540e464d21974bb8157e8a81,FAKE,0.362,bs
5e2a482ad7911bfab371a425f55ccd789b756df0,FAKE,0.362,bs
5ea2a27ec658eab8c88b3e46d9e852f06e9b2b47,FAKE,0.220,bs
5eb2e3e0b166288dfa53f2a3e6c29000153bfd61,REAL,0.740,conspiracy
5ff34eb7960eec231ce3f980ce89702499a6bd2d,FAKE,0.552,bs
6018395ac96d594a29dc93bae3c516e0a8c93527,FAKE,0.602,bs
60837a40400e68535aaf0e7bfa3fcdb75264256b,FAKE,0.322,bs
60e1cb77ccb1a14435c0da7fa34d89598be4de3b,FAKE,0.180,bs
613e1a6e130b5a3f5df62c8fb0b73667742a43db,FAKE,0.444,bs
6164eb7ef474b86cbb096f703127dfe3539fc3c0,FAKE,0.242,hate
61873cf498f3dd81e47e4ed2dbfaed795d4593fe,FAKE,0.242,bs
61bf44a9e9300fb1be3ef6838ddbebb7c4763656,FAKE,0.442,hate
621af1ff31888f1e40ff63d19f627207d8a3e25a,FAKE,0.482,bs
62ee41c759897db01b93f138f92445665ea5476f,FAKE,0.442,bs
633258fbd8ebcd0efe7f0b5427ad65f39bae8360,FAKE,0.662,bs
636c902b72c3454c25d7180e3daf1747d57e802a,FAKE,0.242,bs
63ce388360ca7d8e315667527cdf771bf802e806,FAKE,0.562,state
63d742ecf53449d2237b08fda812249ee96dbb86,FAKE,0.340,bs
63ef2fb2ac6a78ec4f4f7d3be39f5dbb64c72f63,FAKE,0.656,bs
63f3dae2892dba4b815dd83294df8f84959e10cd,FAKE,0.500,satire
64144d4e775a9d33b520ce341cf281ff8d172166,FAKE,0.362,bs
641c5a2e118a86f6a157a2dabbdfe7d311fdb463,FAKE,0.122,bs
6428ae43609480ce441080b8d3047ef9487f76ff,FAKE,0.642,satire
648757aae6daa30343347dfa7a3ef7df7dc009ad,FAKE,0.340,bs
648a276cdc1f2d7c2565b5a03966053b1f3a11b4,FAKE,0.242,bs
65076d6ac34836a622a556e39918db080da094f7,FAKE,0.442,bs
65f40204f704e559947d57e7b4c171d6a4d4fb97,FAKE,0.540,satire
66c3408980b4333f8e2bfe8f5a901321592bd390,FAKE,0.082,bs
66f127b7ce919d1d6768d9c56e4a8f28e1aef0c8,FAKE,0.442,bs
6711d534c9c959d07a0ca547f8f15aed1b1cb507,FAKE,0.242,bs
671b6002e3b2844e8b657892e6db3f0865303e59,FAKE,0.242,bs
67e442545edd937b1184b6dd41bb03b86c8a222a,FAKE,0.362,bs
685f871c0bc5bf5d02588e66d7b5fc2f621531a7,FAKE,0.640,satire
6a15227d25ac0066be187c3d3e50e0b57280cdd7,FAKE,0.562,bs
6a3e171d9b8cecc5da1133c43921d0e9a56ab8aa,FAKE,0.402,hate
6aadafbe6bf853e28646fdeaabf4b2948c367570,FAKE,0.082,bs
6aba16f61daed60aba1e93f99ea22ae45ed4b86c,FAKE,0.402,bs
6acf1885c18b089b467fa65b09fdc9088b088b5d,REAL,0.892,bias
6b3c3c563962e8a11596efdadf6b71cd30b12137,FAKE,0.122,bs
6b6ab6fe8cd1d267c542654f470de8eaf5a6f8fc,FAKE,0.402,bs
6b6bbf0ee41314831ad84b94bec83cc609c4856f,FAKE,0.442,bs
6ca40bf6aecf254ec319e68b8a6ee845af5384ec,FAKE,0.242,bs
6ce32486cb7c4990d50a980880f5c8701d7799f9,FAKE,0.562,bs
6d6fdba05d2923d35063ec4f5637fe4454ff6106,FAKE,0.540,bs
6e9c825580b63922f879eb9e9fa0e8659e2733b6,FAKE,0.282,bs
6f0f14be3ffff98d87d0d6fb9efba69056929d90,FAKE,0.635,conspiracy
6f43f1ce8e14fadd3dc73da8f62edd8681183478,FAKE,0.082,bs
6f4e6b1d5a8c68bfc3f30ee6dd2a55c180b7aa18,FAKE,0.682,bias
6f572e41b1968353a66bdfeb14518a35304b1a24,FAKE,0.482,bs
6f75fd209621062247d8e3d2110880dd85fd1f4f,FAKE,0.082,bs
6ffb2f9c20a5ee09fb76d53bbbaa8dd39edf6916,FAKE,0.500,conspiracy
705b427aeff383f96b89ae159e379d70947d33e6,FAKE,0.602,bs
708399d36287dd9c8fdec9a92adda1970f75f7d3,FAKE,0.442,bs
7095cc1fab5151d49940785268f0cc7f8da9c7f3,FAKE,0.082,bs
709ea1e5960aa357354c7e469139d9e95f504185,FAKE,0.654,bs
70d9bf0b338aa4917246841bbc11f18118526e52,FAKE,0.122,bs
70e74f37d20da750a5926b4f1d85abedf6a76cab,FAKE,0.522,bs
713e1720ce078ae5e2887e0646333bf415005bc2,REAL,0.960,bs
7185e328ba4e1f155a5b922f4adfef89fd06665d,FAKE,0.082,bs
735f3d35c0e81ff0db7369249d2bdf94caca10a8,FAKE,0.562,bs
744de7b027fc4f8375044f4d8446a2571a74f4fc,FAKE,0.602,bs
748d5db125906cfcc6a5232d9538e680f8466564,REAL,0.718,bs
7491e70acab05cfa77d4ddb6dd4645d267202a8e,FAKE,0.602,conspiracy
